Time Stamp (seconds),Battery Voltage,Battery Current
1669802605.5870075,6.561304815e+000,5.996E+0
1669802605.750862,6.543169829e+000,5.996E+0
1669802605.8281362,6.534060647e+000,5.996E+0
1669802605.9074821,6.525217198e+000,5.996E+0
1669802606.0749948,6.508883247e+000,5.996E+0
1669802606.1538434,6.502542857e+000,5.996E+0
1669802606.2336652,6.495378092e+000,5.996E+0
1669802606.401528,6.481995767e+000,5.996E+0
1669802606.4800842,6.476045369e+000,5.996E+0
1669802606.5599158,6.471086465e+000,5.996E+0
1669802606.7264926,6.457162238e+000,5.996E+0
1669802606.8051567,6.453027675e+000,5.996E+0
1669802606.8885918,6.447175854e+000,5.996E+0
1669802607.054688,6.437805072e+000,5.996E+0
1669802607.1337397,6.437035020e+000,5.996E+0
1669802607.2186778,6.431146054e+000,5.996E+0
1669802607.3797219,6.423322672e+000,5.996E+0
1669802607.4618063,6.422529762e+000,5.996E+0
1669802607.5478103,6.417754798e+000,5.996E+0
1669802607.711192,6.411484378e+000,5.996E+0
1669802607.7893806,6.408342739e+000,5.996E+0
1669802607.8726082,6.406022583e+000,5.996E+0
1669802608.0069122,6.400685082e+000,5.996E+0
1669802608.0920315,6.398702147e+000,5.996E+0
1669802608.201051,6.395997680e+000,5.996E+0
1669802608.3726525,6.390925912e+000,5.996E+0
1669802608.453731,6.390711612e+000,5.996E+0
1669802608.5331526,6.389895907e+000,5.996E+0
1669802608.6671488,6.386922850e+000,5.996E+0
1669802608.752459,6.385998503e+000,5.996E+0
1669802608.861333,6.384339820e+000,5.996E+0
1669802609.0291579,6.381115767e+000,5.996E+0
1669802609.106891,6.378185570e+000,5.996E+0
1669802609.1937716,6.376316874e+000,5.996E+0
1669802609.3287852,6.375416813e+000,5.996E+0
1669802609.4130044,6.376114003e+000,5.996E+0
1669802609.522731,6.374719951e+000,5.996E+0
1669802609.6575167,6.373925612e+000,5.996E+0
1669802609.74217,6.373809890e+000,5.996E+0
1669802609.850921,6.375721447e+000,5.996E+0
1669802609.9857974,6.374965682e+000,5.996E+0
1669802610.063666,6.374428729e+000,5.996E+0
1669802610.1803493,6.374564452e+000,5.996E+0
1669802610.3097262,6.375255927e+000,5.996E+0
1669802610.3958395,6.374864472e+000,5.996E+0
1669802610.5039887,6.373834403e+000,5.996E+0
1669802610.639154,6.374334520e+000,5.996E+0
1669802610.724177,6.374164509e+000,5.996E+0
1669802610.8325822,6.375098857e+000,5.996E+0
1669802610.975079,6.373030147e+000,5.996E+0
1669802611.0530486,6.374208364e+000,5.996E+0
1669802611.1618025,6.376485660e+000,5.996E+0
1669802611.2961142,6.375907049e+000,5.996E+0
1669802611.3810525,6.377547159e+000,5.996E+0
1669802611.490233,6.375639888e+000,5.996E+0
1669802611.6247973,6.374851955e+000,5.996E+0
1669802611.7026696,6.375086256e+000,5.996E+0
1669802611.8137703,6.375397706e+000,5.996E+0
1669802611.9525256,6.375331987e+000,5.996E+0
1669802612.029723,6.376118840e+000,5.996E+0
1669802612.1388137,6.376811744e+000,5.996E+0
1669802612.2739804,6.377177483e+000,5.996E+0
1669802612.3579745,6.377801810e+000,5.996E+0
1669802612.4694476,6.376866033e+000,5.996E+0
1669802612.6051688,6.382852117e+000,5.996E+0
1669802612.6819704,6.379990496e+000,5.996E+0
1669802612.7984743,6.379793340e+000,5.996E+0
1669802612.9331446,6.379463318e+000,5.996E+0
1669802613.0184178,6.380634825e+000,5.996E+0
1669802613.1298463,6.382479610e+000,5.996E+0
1669802613.2975428,6.381840996e+000,5.996E+0
1669802613.3763225,6.381583836e+000,5.996E+0
1669802613.4554136,6.383038219e+000,5.996E+0
1669802613.6223297,6.384261362e+000,5.996E+0
1669802613.7042537,6.384639959e+000,5.996E+0
1669802613.783939,6.392774786e+000,5.996E+0
1669802613.9588351,6.394691711e+000,5.996E+0
1669802614.0377796,6.395004589e+000,5.996E+0
1669802614.1253476,6.395901791e+000,5.996E+0
1669802614.26043,6.397633335e+000,5.996E+0
1669802614.3447556,6.398869131e+000,5.996E+0
1669802614.4539104,6.397351888e+000,5.996E+0
1669802614.589814,6.398656518e+000,5.996E+0
1669802614.6745043,6.399387995e+000,5.996E+0
1669802614.7908816,6.400703797e+000,5.996E+0
1669802614.926855,6.401110967e+000,5.996E+0
1669802615.0040112,6.401425809e+000,5.996E+0
1669802615.1129577,6.401955844e+000,5.996E+0
1669802615.2880247,6.404170277e+000,5.996E+0
1669802615.3666987,6.402754468e+000,5.996E+0
1669802615.4476206,6.403075918e+000,5.996E+0
1669802615.582604,6.403110218e+000,5.996E+0
1669802615.6668386,6.403808836e+000,5.996E+0
1669802615.7837882,6.406530444e+000,5.996E+0
1669802615.9124212,6.407219061e+000,5.996E+0
1669802615.9971428,6.403270835e+000,5.996E+0
1669802616.1059968,6.401346422e+000,5.996E+0
1669802616.2406225,6.405525269e+000,5.996E+0
1669802616.3255942,6.406011015e+000,5.996E+0
1669802616.4337695,6.405362401e+000,5.996E+0
1669802616.5698938,6.406429508e+000,5.996E+0
1669802616.6544216,6.407996754e+000,5.996E+0
1669802616.763488,6.408763948e+000,5.996E+0
1669802616.8993902,6.410275476e+000,5.996E+0
1669802616.9759166,6.410082606e+000,5.996E+0
1669802617.0920076,6.411543484e+000,5.996E+0
1669802617.2275932,6.411587773e+000,5.996E+0
1669802617.304917,6.411979227e+000,5.996E+0
1669802617.4137523,6.414592258e+000,5.996E+0
1669802617.5487196,6.414793532e+000,5.996E+0
1669802617.6341336,6.415796456e+000,5.996E+0
1669802617.743664,6.421526835e+000,5.996E+0
1669802617.9107146,6.423451248e+000,5.996E+0
1669802617.9895306,6.425351300e+000,5.996E+0
1669802618.0680695,6.426135637e+000,5.996E+0
